Season,Week,GameStatus,Day,Date,AwayTeam,AwayRecord,AwayScore,AwayWin,HomeTeam,HomeRecord,HomeScore,HomeWin,AwaySeeding,HomeSeeding,PostSeason
2025,Week 1,FINAL,THU,4-Sep,Cowboys,0-1,20,0,Eagles,Jan-00,24,1,,,0
2025,Week 1,FINAL,FRI,5-Sep,Chiefs,0-1,21,0,Chargers,Jan-00,27,1,,,0
2025,Week 1,FINAL,SUN,7-Sep,Buccaneers,Jan-00,23,1,Falcons,0-1,20,0,,,0
2025,Week 1,FINAL,SUN,7-Sep,Bengals,Jan-00,17,1,Browns,0-1,16,0,,,0
2025,Week 1,FINAL,SUN,7-Sep,Dolphins,0-1,8,0,Colts,Jan-00,33,1,,,0
2025,Week 1,FINAL,SUN,7-Sep,Panthers,0-1,10,0,Jaguars,Jan-00,26,1,,,0
2025,Week 1,FINAL,SUN,7-Sep,Raiders,Jan-00,20,1,Patriots,0-1,13,0,,,0
2025,Week 1,FINAL,SUN,7-Sep,Cardinals,Jan-00,20,1,Saints,0-1,13,0,,,0
2025,Week 1,FINAL,SUN,7-Sep,Steelers,Jan-00,34,1,Jets,0-1,32,0,,,0
2025,Week 1,FINAL,SUN,7-Sep,Giants,0-1,6,0,Commanders,Jan-00,21,1,,,0
2025,Week 1,FINAL,SUN,7-Sep,Titans,0-1,12,0,Broncos,Jan-00,20,1,,,0
2025,Week 1,FINAL,SUN,7-Sep,49ers,Jan-00,17,1,Seahawks,0-1,13,0,,,0
2025,Week 1,FINAL,SUN,7-Sep,Lions,0-1,13,0,Packers,Jan-00,27,1,,,0
2025,Week 1,FINAL,SUN,7-Sep,Texans,0-1,9,0,Rams,Jan-00,14,1,,,0
2025,Week 1,FINAL,SUN,7-Sep,Ravens,0-1,40,0,Bills,Jan-00,41,1,,,0
2025,Week 1,FINAL,MON,8-Sep,Vikings,Jan-00,27,1,Bears,0-1,24,0,,,0
2025,Week 2,FINAL,THU,11-Sep,Commanders,1-Jan,18,0,Packers,Feb-00,27,1,,,0
2025,Week 2,FINAL,SUN,14-Sep,Browns,0-2,17,0,Ravens,1-Jan,41,1,,,0
2025,Week 2,FINAL,SUN,14-Sep,Jaguars,1-Jan,27,0,Bengals,Feb-00,31,1,,,0
